," =COUNTIF(A:A,A1)>1"
4ee9a447-eee6-06f9-a05358e0cd7f,2205310030000660 | ARR | Decimal Data type scale being limited to 2 in SQL Endpoint UI
9c4f0739-ae1a-7190-bd69d17d3017,Root bucket error in log4j
596900ff-3271-e230-bd734d03114e,2205310050001250-Need Genie Access
ee236dc0-5920-b472-576c53a8d3b9,gar for 2205160050001134 
1b9be7d0-a3d5-a810-88b8d263e649,genie
281d5a3a-5082-2039-723d028da69b,Databricks environment highly unstable
9dbb3dbd-94b0-a05f-395a6a17215b,Command stucks when submitted
c2f5b5c8-c885-92f3-c385477d5d19,2205310050000427 genie
71ff5708-97ba-ebc0-06d12a933dcc,2205310050000341 genie
f39d53a7-9c9d-3bbc-c8533c6a5b72,Genie Access Request
7b85ac08-ce31-a7fd-5afbb684cf05,CSS-ARR-S500-SR#2205270040003393-Genie Access Request
0c0e059b-3e46-7ccb-a2be674ae8be,2.21E+15
3b816527-98ee-4f86-e7436d58eba7,Databricks jobs failed due to AccessDeniedException
62878768-fcaa-623d-0c368f9d40e5,connect to databricks using the ODBC driver
5d7e0f9d-09ce-623f-5f735c665fde,ARR - Not being able to open folder structures from storage
2c08ae2a-b535-5db5-d80be4bf7259,Missing tables
0eea2a7b-6a96-0164-d889a149cacf,databricks-connect with token is deprecated
7ed0bdc3-36e2-833c-1bf76b17b907,2205250050002151 problem installing libraries on 7.3 LTS
0e56aeb9-d424-04f7-e594c7189795,Intermittent metadata connectivity issue
0c1865f4-0e6c-ebbc-6b117f9ed4d6,genie for #2205310050000310
52f15c8a-2fe8-b859-3deaa36dda90,File cannot inherit from folder when create table
d8373c9d-baf3-d31a-68a6f1d5d859,Genie Access Request
f1189827-261b-f1c3-6bc932273026,Not able to connect to ADLS with External HMS
91ecfcd3-7a87-c462-c58e72d5d4a9,genie for #Case2205300030001172
4cc72604-4322-026c-05ee83a21340,Update to 10.4 LTS
7bd2d707-00dd-a0c9-59be0d1e003e,Intermittent Access denied while write to Amazon S3 write encrypted storage 
90fa5187-cec6-7666-2aa2a7e37ff2,Job is stuck
fdff3081-0068-b81a-ae54907bbac6,PowerBi Failing To Connect To Databricks Table and Fetch Data
128a92af-5cb5-c9e2-9bb1ca195de3,JDBC query connection issue
bf980a81-4af7-26ec-bbea8874dda0,Genie access request
18a112d8-e1a4-73d8-e3e1720001ac,Genie
3fcc1dff-a8de-8f78-70f8d306c79b,Genie Access request 2204270060000414
f5b52858-6e85-1ed3-0fa95ed5c0e6,Genie Access request 2204270060000414
33631e27-e6aa-3c19-276677103df4,Genie Access | ARR SR# 2205250030000379
f09cf4fb-cf4b-2daf-876a5f91f71e, R Notebook fails sometimes; fails only at specific time every day
9a15e485-a890-da6e-44b25bfb305a,MLflow protobuf Python version problem
b00f4dcf-b326-56d8-cf287eed3ebc,クロスアクセスアカウントIAMロールに付与するポリシーに関する質問
459443f2-6f46-3506-19897abfb8d0,Genie-2205310030000459
9a7cc3b6-1630-9061-f7e12efddd2f,CSS-ARR-S500-SR#2205310030000543-Genie Access Request
93f809c1-77a9-5b7d-fff62374ba50,Logs delivery just before application shutdown
65164007-e5e9-7bd7-a4c4d9bd1e95,Not able to Write to Container using Pyspark.write method
c04b2859-cb66-2b95-fc8f394f94ff,CSS-ARR-S500-SR#2205270040003393-ADLS2 access issue
907c6276-7555-da94-58ca82da3446,2205300040003430-Need Genie Access
08889589-7b3b-140c-3ca256526110,2.21E+15
a528d4b6-3895-17c4-baee218d3853,genie
2a322d94-a778-3c1a-c96ca781f3ef,2205300040003430-Notebook getting failed
a61e8c6e-aa1b-b56c-32232f45a3d2,The execution of this command did not finish successfully
7e287753-bc9e-f564-ee7f87192fc8,Can we have a chance to know which VM type has which kind of disk's tyoe?
6f706bcc-8d3f-1f81-3e2a4a70c81d,2205250060000952 Genie EU
e665ccdb-3c20-36c4-e56a4fe26020,On some occasions the count file is having more numbers than the data file
8c0f71b7-2f0c-0776-ff4eccc016ce,2205250060000952 Genie US
ea2dc6c5-0c59-e3b3-c2e88163770f,job failed to retry
7427d9b2-66f5-aed7-7115b6076e61,2.21E+15
824af2c4-6517-11e9-37e96411602a,Follow up of 00142853
50362b41-5b17-10ab-9d19db1ed0f9,Two runs and one one just took 2 mins and others took 4h
4a6573ad-3e27-74f4-f6b42445ff39,ARR | AirCanada | We need explanation why init script or job dependent libraries are recommended for ModuleNotFound error
6160ae20-2bf9-eb12-51261006ac0f,genie
c092044f-1700-f35e-05c8241634e8,unable to perform jdbc connection to synpase using aad authentication- Saved
5598a037-b7d2-241e-325eb58f9cea,[ARR] [Sev C] SR-2110140040008211-intermittent access to the databricks
ffb2d804-5a10-98ae-d7decba332f2,genie
0f52d171-c024-ef6e-60b9156c3e5c,Genie - 2205300040004457
2706ce31-b577-a330-1234c364f5de,genie
9ee9e6ff-3e25-6455-0e162d367edd,genie
8579af6f-3b04-fbe3-70071a377e43,ARR Air Canada - Jobs randomly failing with module not found. 
59313cd8-514e-66ec-aabf35406622,Eventhub Streaming to databricks delta table stopped due to offset mismatched
e0c980f5-e13a-71fc-fbf46ac57ce6,Genie:  2205300010001729 || Soncor|| Cluster failure and pipeline failure
cc643b10-c415-39ec-6e7108a1aad0,Connectivity Issue to Synapse - From Databricks using JDBC 
db1a1001-cdad-9ae2-196c3f178e3a,genie access
5b3ac5c5-3f11-2af5-39326346e4e8,Genie: 2205270050001268 || ABN AMRO || cluster performing very slowly then as usual
fc8f38c5-435e-6b55-69cf2631f6b6,Genie Access Request
dd7e6ba2-88d4-9eab-1960892b18f5,The Spark UI link not acccessible
8e9090b4-5367-0e06-6d2e7cb6650e,High Concurrency Cluster in Prod did not Terminate for 2 weeks
e4873e15-d225-35e6-4ac14fa08268,VNET injected workspace is slow
3a486b24-4603-64b3-6799574d543b,Intermittent Library Installation Issue
eb49af47-24f8-1348-35f53d4d62e2,Genie Access Request
e1afd178-0b56-b081-3ce36fb2692a,Job stuck in running state
62b105ec-8e66-3b59-c3c746f7666e,Genie for 2205300030001727 
7f968ab0-feae-051c-b30218be8b44,"[Genie]  ERROR sparklyr: Gateway (65529) is shutting down from init() with exception ,java.net.BindException: Address already in use (Bind failed)"
877cb951-9584-cb3a-24b142247c92,ossuleimtestworkspace-IP access List
0e610ffc-3a28-f4a4-253b1163a7ca,NFS/EFS Volume Mounting
77cff54f-ecc3-c018-af5c85702f97,Follow up of (00146728)Databricks - Cluster Upgrade with gdal
d5bd8564-9baa-e1f0-16047002abdc,gar request for 2205200050001297 
28c350d2-7d87-6fe0-d58f7bfc76c3,ARR | SevA | 2205300040003430 | Databricks jobs are failing after DBR upgrade in PROD
c389a938-22a1-ada3-071f5655abc5,2205300040003430 || Genie Access Request
859dd370-c65a-a2c7-6cae00acf796,Notebook commands get hung on spark.read; Spark Job gets initiated but commands get stuck indefinitely.
9f616385-6d55-8d81-7066729fc2f2,Databricks deployment failure using automation.
d2bfafe4-71ab-fcea-322b65f25c02,Genie-2205130060001012
6b689225-6e93-7018-b7cd04ed4f77,Databricks views are being recreated with all column names in lowercase.
34f6b3d5-d030-dda9-79baa9b7e057,2205260030000884 | ARR | Error sending to Log Analytics from Databricks workspace
3ec41159-74f1-3239-72982f66eb79,Recover the deleted notebooks that are not committed from repos
40f90935-7b9b-682d-548982304221,Gapply Collect (executor issues) 
7bf4e0cc-38e9-3a99-1c9ba1f7aee7,2205240040004222 | ARR | Jobs are running slow than the previous runs
86efd210-0cba-6916-506db448f68c,監査ログの構成に利用するS3バケットの設定について
bcd2eddb-dc10-04f8-290c33832982,UnityCatalogマネージドテーブルに利用するS3の設定について
ca4b3188-4f85-43a9-c25e914d3f46,Follow-up case for - 00144864
95dcf714-891d-f75a-2706a38fee51,e-mail notifications when jobs are skipped
2ce942c0-a50c-3fd6-50dc3dd88fd6, Error in SQL statement: SparkException
7b5c5355-4da7-e2ff-735f93c4f87d,Error on MetaStore when using uploaded JAR for DB connection with AWS PrivateLink
c4f2a8bc-4d0f-aebc-b63da8e321a0,Genie access Request
1274f68e-91e1-a3a9-72bf4e4bd0bf,genie request
9fd16c4d-18ec-900e-992b8c0206de,genie
d615be18-3c23-d376-56f19a060902,[SR: 2205270060000149] Consistency of Delta Lake table when copying data to another location
6d0f4dfa-3001-9c26-a099c5586294,genie
986d22aa-ec38-27f0-651ce6a7d604,CSS-ARR-S500-SR#2205300030000938-Registering the model using adls gen2 path
46c3322a-a9cd-4780-c9caf1c28a50,2205270050001276 - Genie
dca662a6-7968-efb3-a749a9be0c13,CSS-ARR-2205300030000871-Need to get the cluster log details for the given databricks workspace
cba31ef8-3a6e-0f7a-c6f5adcf1bd2,Enable dbutils.secrets.get on databricks-prod workspace
a7cc30fa-5f8f-0670-c200db612c95,DBInsight 2205270040003899 
d59d3073-3e5d-3cb8-91cd5e353ca0,2205300050000181 genie 2
e2fd3d49-3de6-4391-26d8b364197f,2205270050001241 genie
8979b3fc-198b-f377-85b2d7426b21,2205300050000181 genie
3758e92b-9730-f754-72cd0e520f3b,2205300030000871-Need Genie Access
c0072da7-ec17-c5cd-7ef40bc92d92,how to execute SQL file (Databricks detla tables quires ) using sql enpoint in commandline (CICD purpose).
008f2d5a-8e0e-64d0-d42af00385d1,Pipelines are failing with an error
61dd74b8-c4fa-5e6d-0dd0e2f3c300,genie
adef9d3e-201b-a706-1fa75ff42a27,CSS-ARR-2205270010000557-pairwise partial correlation in ML model is taking more than expected time
a30e3257-e2cb-6197-1c114c5a85fe,[ARR][Genie][Eventhub job]
8e0727ec-c479-c916-4ef4ac69b799,Genie 2205250060001505 
6ed9714f-a6af-ecd3-2637f2c822dc,2205270050000944 genie
a87fea3e-ecd6-3dae-2868dd2c8c52,genie
36d5aefe-733d-1174-a5ad4f6a050d,Not able to manage cluster in premium tier with Owner permission.
3b1df47b-d72d-7bfd-c64d379f1734,2205270030001488-Need Genie Access
73d6f532-5971-acb5-6900bd29ea15,ARR | Citrix | Need help change the cluster owner | SR:2205250060000952
bdfee0cf-ca60-1285-95d8a5bd516e,Not able to connect to ADLS with External HMS
1e2d93a1-2fb8-74c6-77d49ee94ee9,A piece of code in one of the notebooks has been behaving erratically
4aa3ca7b-8b82-e6eb-9bb5c083c470,Genie Access - SR 2204250050001910
4e01e330-0695-9a9b-bc66ba5b8c8f,Contact Details for Contingency Plan  Documentation
6c3334f8-1115-5be5-c835e8c9a097,genie 2205120030000229
df4c0773-0704-db36-86994ecf5a8c,Please help to enable the Unity Catalog for customer
0617b1b2-0667-4638-11955645856a, Unable to access AzureDatabricks workspace
6c814ffc-8d7c-572f-0df4ff1eb258,Unable to access AzureDatabricks workspace
001f5889-bca4-01bf-c594edb3808b,Cluster Terminating
dbe5da35-2cb5-adbe-506e063906c1,Genie-2205290030000057
b4d0c37b-3517-9742-49fa17de7fab,Unable to access AzureDatabricks workspace
701b2e98-33ab-017c-f61d4d273726,genie
181e9db4-58d5-18b6-b5609da5dd48,Notebook Execution taking to much time. Need performance tuning
d6ec8983-3875-7fdb-351204e6db45,genie 2205210030000305
fff9fb3f-2cd3-fa67-0991e9f27233,genie 2205210030000305
91a7175a-6939-3bba-8f9692cb27a1,Job email notification alert not sending to specific email address
ad276104-8e19-a714-2112a963b57b,Genie Access
b2d14a2f-1ffe-99d9-29c947f40f01,Genie Access - SR 2205290030000234
6f2ee26a-ff36-be98-227d97506dfe,Genie Access - SR 2205290030000234
f1fd309c-2f38-39e9-cabfa2c3846a,genie 2205270030001115
636b9024-4500-f2b2-e566b2e3150d,genie
d2705ade-9746-d0db-955319bf0773,recover deleted azure databricksm
1466a921-792e-8fb8-6eba99775beb,Genie 2205240040005232
431966ac-a290-f65d-fa4a08b7bbca,Not able to Write to Container using Pyspark.write method
2db28fe2-0571-4c1f-8c878e34f5e4,[ARR][2205190040006377 ][Procter and Gamble]the spark driver has stopped unexpectedly and is restarting. your notebook will be automatically reattached.
bbe37b01-1d25-4861-9f66a197fe2f,2205290030000057 | Genie
8447af63-b5c6-e0d2-09f82c7f8042,genie
cd3e96d7-9695-5598-59f1a3b6c05c,7763010224164137 - b8080fe8-25bc-47b2-85e7-fd02dd3aee1e - 2205280040000814
cad9e71e-fd76-f829-cb47b17e9237,Databricks Merge Statement is creating duplicate rows
9b7b0bfa-dcff-2a56-e57a98f8a105,8917076304931352 - 09c14ab4-bb01-40d1-9eaa-c49fefd07fb1 - 2205280040000550
7e9fbdc2-68fe-90b3-e45ead809192,2.21E+15
88db0172-0fb9-fdb3-1799bef13809,Genie: Boeing|| 2205270040005511 || JSON file failure
11c7d823-20cb-52c5-5d0a3e4ab20b,Is there any connector available for writing  to dynamodb from databricks pyspark/scala spark ? 
8b306702-0a4f-9693-bc0af5abbb4d,connection issue with powerbi  ssl read
b7294e44-2e06-99cf-9e198c6daba2,[ARR][Mars Inc][2205170040006218 ]Issue with cluster resizing & autoscaling
a2ce4c23-2d27-aea6-346762c357c5,Azure ADF pipelines are running longer than expected
390f0a53-47d7-a763-4520c12fe8ab,2650234915343663 - c450f3d1-583c-495f-b5d3-0b38b99e70c0 - 2205270040006933
e5e8a67c-86d5-c985-a8804e2a90bb,Unable to access Jobs API 2.1 - 401 Access Denied
1ab445b2-6dff-1c42-07bad7d0419e,Genie:2205270010001059
820d08c3-3d64-151f-ee774a30b67a,"UI of the ""Tables"" tab is not refreshing when navigate the ""Data"" explorer"
16f88328-412b-e7b9-cebf48895729,GE FDL: Production DBR jobs failing
a64931b3-1e42-7851-22af6a80a04e,ALTER TABLE statement failing with configurationInvalid fs.azure.account.key
2bc69a76-35b1-ee3f-dca7922e449d,Update IP access list
1cf91590-4a53-5bc1-228167489683,cannot get debug log level 
9054bf5a-38f0-04f6-064711257e8f,ARR|AT&T| Running jobs using databricks sql connector-
30b480a0-0ce2-30cf-8d4424ace40b,AWS Please reduce your request rate.
dbfd7846-4375-89c6-977cbb082b2c,guidance about security vulnerability scanning
f2cfd2f6-ec14-68da-458676e4ef09,Job processes hangs after a while at an unknown time and does not move forward. 
4f486094-b49e-349b-6ef922318cc2,unpinned clusters disappearing after library installation in E2 workspace
c3ebe33d-db5e-ddc1-4a0816222889,2205230040003508Genie
3f43b66a-f479-3da9-15df9238b1b1, 2205100050002029 - Genie
3e3f16ee-0299-0a68-85c81e104602,DBFS_DOWN
c338d9ae-b84d-6cd4-37cfb6c0485f,2205270050001268 || Genie Access Request
2427b6bf-32a8-d49f-928b580e2abc,The run of a repo notebook is taking 8 minutes to process each cell
c873db04-de76-98db-4540f15166a7,2205180040008873 | Job URL
de7354a1-139b-e501-2c7a38ffa792,Pip in Delta Live Tables
058b0a03-d566-9379-9b00a5c65bf9,genie
6f8f7b5e-efd0-d50d-7e8e2a8706b5,Genie Access Request
961b729a-5699-beb8-dd1762ad2c56,Need help verifying the actions from DataBricks
01a7c2cd-dde0-1407-8fb41e6f6dfc,Databricks unexplained errors
b8c92d08-0a1b-a6e8-266139a502fa,Notebook submitting unwanted Jobs to cluster
aba029f6-821e-7166-3ca342cb53fc,RStudio Error
b023ac34-299f-7426-92eb41da5736,Genie Access | ARR SR# 2205270050000380
b47c47d0-92ec-16b2-36d4640f37aa,Upgrading to DBR 10.4 on PVC brakes DELTA MERGE operation
fa09fdfb-11ef-f413-8b69b7b24bf6,Streaming Exception 
d94b6f9b-b6fa-69bf-9ad993f997f3,Outage May 25
d035f027-8bb2-603d-92805d8becc2,"""error: only cluster owner is able to change the secrets"""
99b9c75b-6466-1002-29243e1aac78,Exception: Exception: org.apache.spark.SparkException: Job aborted.
208a0b63-1729-523b-4da111ef682a,Core databricks instance down
50d1f61a-3207-2e28-539e1e52545f,DATABASE_CONNECTION_FAILURE(CLOUD_FAILURE)
a403b77d-3d84-60e8-8138a88a0084,ARR | 2205270030000850 - slowness in job
6a30fd92-a48e-0d12-b6490dc8cde5,Delta Lake Change Feed Data error on job restart
76fc4e4a-376e-dddd-2c6057b55a89,"Limit increase: ""The quota for the number of jobs has been reached"""
6df370a0-48ac-50f4-a7270fef94ac,Job runs slower than expected. There are no logs to investigate | ARR SR# 2205260040002506 
23445b13-d88d-e5cc-fc26654adb8b,GAR for 2205270030001293 
389c660d-0dc5-58a0-917a0107dbbd,Unable to read java file
ba380927-b450-efd9-352be92a420b,2205270010000557-Need Genie Access
58e1d49a-21cb-6c47-a11de6bc602e,UI issue
0a9f7b78-f396-94b8-757d83140a29,genie for #2205270050000655
c4200c0f-e53c-6b7d-ad5d3537b633,[ARR] Recursive view is not supported in databricks cluster runtime version 10.4?
e811bb3e-136d-ecda-9ea22794ea1b,Genie Access request
2b745d39-63f9-51de-71a8a9bc6709,2205240050001379 - Genie
56fcd0e1-6b4b-0890-6681891e3d9c,CSS-ARR-SR#2205240030000602-Support partial CSV File reading using Copy Into command
ba3c9a00-d2fb-125a-8abbcefbc608,genie
a9859615-8d1d-c732-8c515b0fda2d,"spark.conf.set(""spark.default.parallelism"",90) not working in Notebook"
4fa5e250-d308-cb68-de278d6fe7f6,[ARR][GrabTaxi][Job Report Storage Performance related]
d1be3f4f-e5c5-fde1-ba70c60f7acc,CSS-ARR-SR#2205270050000347-Genie Access Request
bcfd2494-7a98-581f-aab8e94bbd45,GAR for 2205260030000949 
8f9ab194-5f1e-70dc-8ceb2068f061,New GEnie 2205190050000485 
f4e00056-7f77-c575-c9156c021dc9,genie
11b87f49-832a-6ebc-f1ccaab65d7a, Connection failed to DataBricks
b493a438-9632-b61b-23434331febd,[ARR][Genie][Storage Latency]
dc9566c1-9f07-6870-456c00bf62b2,genie for #2205250050000600
4c429de2-2abe-eba8-c38426433547,genie for #edqwe
aee4282a-1385-7393-6a261d90cd3c,Cannot put file in dbfs mount folder
a9576c4d-455c-9078-1e3d5778adba,About the specification to output the audit log to S3
36dd4a16-5d06-058f-48d9c27f0650,2204260040007251003 - 338436079551930 Genie Access
b49a5c6a-6dc5-5bfa-900e7ae3873d,Genie access request
6ba36bf1-442b-5928-0793c1f5f1fe,Unknown user account in workspace
d40396e4-953b-07a2-a0c743197f0e,Follow-up to 00146362 - concerns regarding cost increase due to increased DBFS usage
1a1d6f3b-6748-ef52-152193db3fef,metadata.HiveException: at least one column must be specified for the table
0d5b4caa-b686-3491-2b2392928d73,optimize the cost
1d089d17-e0dc-c890-beb948a6f384, Cluster spin up issue
561e12eb-a5a5-7007-d5f2df5290af,GAR for SR 2205200050001297 
cdc7b94e-ef24-63d4-5b25a73a7f23,Unable to attach notebooks to cluster.  Databricks times out when trying to list available compute.
1173f924-4fc2-f2b5-30b4c056552a,ARR | 2205260040001988 | Workspace folders were deleted in production
ecf54bed-0f1c-d09b-7af6bac4b22f,updating tags fails.
50176297-1328-19df-25cd093cf441,2205270010000553 genie
fc7970bc-8094-9e47-d6f836229b7e,Genie access request
d3bee656-898d-61a4-299df206c8b1, Notebook showing function does not exist
d4aff3e4-8b75-7e3b-9ca99e0d7a84,job failures even after reties
c0bf4d50-f586-e100-3eddbe1f2b14,Genie-2205250030002103
42d64a27-3b24-167b-9884f3b7460c,genie
463b3e6d-7a82-3cd1-079bbec4d3b9,java.io.IOException: No space left on device
6868a522-e6c2-7a60-b0ffa0f8261c,Spark job fails failing in the shuffle stage : FetchFailedException 
878cf29f-c61f-4b3d-13c33df301ac,Need to check why the model training for so long and why it's stuck shown from log4j logs
c43ba0a6-9e84-62a9-87a027ed6dd0,genie
0a78ff7a-5e75-79b7-77ad6d8e75db,"Not able to find clusters,repos and admin access also removed in hub account"
0014c98d-269c-5106-764a1097df0a,2205260010001471-Need Genie Access
4f6b1652-2ede-0ed1-8b1341ca22f5,CSS-ARR-S500-SR#2205250030000548-Auto assignment user as admin role
027dd9e7-c122-b36f-326f62328548,Genie Access | ARR SR# 2205260040002506
4c4db38e-f2ee-d215-7392c8f4060a,Genie-2205130060000046
91bd918b-ee6b-6bad-0a5fa5a075fe,genie
6d7a7860-eb4c-76d3-063c7b42890f, RCA for Issue Faced on 05/23/2022 related to VM instance Quota Failure
c3748b56-7ff5-9f7b-a637b1d9b13c,"Azure databricks notebook execution duration is extremely long (40+ minutes), and it exceeds the 10 minute trigger window"
950d0eef-32e4-5134-212487f10e7c,[ARR] [Sev B] SR-2205260030001963-Cs_new_fix_issue
ce67d754-ee35-9f10-60f69833ef90,genie
3571ae14-2ec5-69b4-5eefe10f95f3,[ARR] [Sev B] SR- 2205260030000798 Notebook Execution taking more than the usual time
bbe15c6a-2625-c5d2-b65ef27172f6,genie 2205260030001963
516069ff-acda-9e8b-a8a9e062fea6,genie
aae45055-b147-eae9-48c6c880c8ff,Upgrade databricks to 10.4LTS hive metastore causing job failures
404389cd-5313-0071-6e2d998406c2,[ARR] [Sev B] SR-2205250010001325-Few Jobs in PII Prod Databricks workspace are failing continuously with Connection Reset issue
bedb0c7c-9813-09ca-86c9562b6059,Genie - 2202210040006429
3c606a7b-a842-4d0b-544a266ce571,Job cluster launch failure due to instance request limit
5748911f-aa16-4a0e-ef44510039e7,ARR- Databricks cluster not loading dependency consistently- 2205160030002086- followup of 00147763
17739abe-aa0a-813e-a705bd81b3cb,runtime 6.4 support ending by June'22. What is the best way to upgrade with least amount of changes and regression testing? Extension?
790af961-6009-4f45-905090965414,Genie: AirCanada || 2205260040008301 || Unable to write in DEV storage
7fa500a2-6014-1e8f-46db895631b4,Genie: anheuser-busch.com || 2205260030002078 || DBR 10.4 - cannot create views
af687032-8314-e4e4-6a255938bea4,Ability to specify different VM instance types based by schedule
0556df94-2355-ff11-1a05b7bb2203,Not able to login from manage account
3fc19cc3-6c8a-e67a-43d878e8302d,Job failure due to cluster BOOTSTRAP_TIMEOUT
7835b945-2080-ec36-24374ddf256f,Cannot edit broken query in Databricks SQL
edd67f96-4252-19d0-91e2bfeffcef,Java App Fails to Establish TLS handshake
29ab60f3-5d1b-5e55-1178c752c714,Access denied while creating a global init script
67b7c4c6-af62-5c3b-f8e7bee0c4f2,Loading tables with billions of records
691b124b-d398-5668-6acc858e8eb7,2205260040007389 | Job Failure
5a74bd83-55d9-60a6-52ccf855e23e,SSM Agent installation on Databricks Prod and Non-prod Worker notes
d931851d-601e-4496-bd4c1851f8f2,Exception equests.exceptions.HTTPError: 429 Client Error: Too Many Requests for url: https://centralus.azuredatabricks.net/api/2.0/jobs/list
70710192-3531-7652-3dce202df91d,Informatica job is failing in Databricks
eb8c4952-11c2-ed49-693d044c38db,2205100040006478 genie
ac1aad4d-0089-70cc-a39f694026f8,Databricks libraries installation failed due to network unreachable frequently
4d24226b-3007-22c2-e6733f5c5427,genie
43cf9cca-40d5-f63c-3b9cdabb98ff,Genie access request
661041aa-3069-c723-327bed8881f2,Issues accessing clusters in azure databricks instance
126cf443-d12d-d0cc-6d8004a819d6,Outage issue
714c85af-732b-c26c-08d4d0900974,"Job fails with ""An error occurred while trying to connect to the Java server (127.0.0.1:35291)"""
eae59aa0-f7ca-06cf-0b4fe2db0cde,2205260040005420 | Outage
0cf5ebba-c483-f83b-a7292704dfb9,ARR | library loading failed | 2205260010001471 
f0012a9d-2240-e487-0c033335347b,TypeError when importing feature store
81486b5a-d1db-3537-100d1792e8a0,[ARR] cannot see the deletion of clusters in Log Analytics
54b878e6-5992-b283-171e2d61cfca,2205260040004092 | Repo
8c5b440f-b1d1-a674-949fd304d618,2205190050000006 Issues when connecting to SQL server from Databricks
ce5ca42f-b4f6-dd35-95856d48258c,unable to connect to AS400 datasource (worked on Single Tenant workspace)
2b12f7b7-130d-54f8-ed99f2ad007b,Upgrading the Preloaded Databricks Runtime Version of a Databricks Pool
816e9223-28dc-3f91-23cd7fc5acf3,GENIE ACCESS REQUEST
98efd653-118e-f6b4-bf04338bccab,Databricks MLFLow behaviour appears to have changed
43f74fa6-3bd0-3d33-6028e2ce6e02,Job-cluster is slower than interactive cluster
a86bb5ee-7f7c-0f62-c0d09f36752a, Enabling customer-managed keys for managed services
93682bd2-cb80-ecd0-571991958231,[Arr][Storage Latency]
40776767-07d8-2f6e-94e0fab1f8a6,Genie Access Request
afe0cfe6-84e9-d921-2da44364c4a0,Notebook showing function does not exist
9e95f2e0-e630-3a36-f13d230a7d12,Genie Access Request
286500e9-1cb0-8906-ff7cf327358c,Notebook execution failure
0e9787c9-22d2-cce4-ae82bb45b6ca,SQL query ran for 25 hours and normally completes in few seconds.
5cce6533-3079-d635-19eaec3c07fe,Recovery related issue.
452553b4-3e5f-442b-a0f11d24fee0,ARR | SevA | 2205260040003611 | Backed service unavailable in eastus2 
ee6e71a3-1aaf-55a3-a91cb0a9ad55,ARR | 2205200030001371 | job intermittently failing with unexpected_exception | JNJ
3e34ba0b-8de7-f6b7-99460dc416aa,How to connect to aws quicksight from databricks
f1772f17-8f20-a615-0972ec1349a1,genie
13dfbc3e-1c55-a7e7-18223a5ce528,2.21E+15
97fbdb68-4e8f-e2d9-e2101da67d75,Cluster terminated.Reason:Storage Download Failure
378c823d-5f70-117d-5911db0d6d7c,DBR PROD -  Cannot broadcast the table that is larger than 8GB: 9 GB
a66f7d25-e00e-80e6-fa821828c650,Error while migrating database from hive to glue
5bf50aef-e8ff-3b69-71978a16090c,Genie for 2205260030001267 
